group7136-2, hypothetical protein
group4306, MiaB-like tRNA modifying enzyme
group4305, Diaminopimelate epimerase
group4304, hypothetical protein
group4303, Ffh%2C signal recognition particle protein
group4302, chorismate mutase
group4301, ribosomal protein S16
group4300, 16S rRNA processing protein RimM
group19393, diguanylate cyclase
group19392, hypothetical protein
group19391, hypothetical protein
group19390, hypothetical protein
group19397, hypothetical protein
group19396, hypothetical protein
group19395, hypothetical protein
group19394, hypothetical protein
group19399, Endoribonuclease L-PSP
group19398, ABC transporter related
group10871, DNA polymerase I
group10870, hypothetical protein
group10873, hypothetical protein
group10872, hypothetical protein
group10875, Flap endonuclease Xni
group10874, hypothetical protein
group10877, hypothetical protein
group10876, hypothetical protein
group10879, hypothetical protein
group10878, hypothetical protein
group11476, Exopolysaccharide synthesis ExoD
group11477, hypothetical protein
group11474, Integral membrane protein TerC
group11475, hypothetical protein
group11472, transcriptional regulator%2C LysR family
group11473, hypothetical protein
group11470, Glyoxalase/bleomycin resistance protein/dioxygenase
group11471, sulfatase
group11478, hypothetical protein
group11479, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group19645, transposase IS3 family protein
group19644, hypothetical protein
group19647, hypothetical protein
group19646, hypothetical protein
group19641, diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)
group19640, hypothetical protein
group19643, hypothetical protein
group19642, AAA family ATPase%2C CDC48 subfamily
group19649, hypothetical protein
group19648, hypothetical protein
group2882, transcriptional regulator%2C AsnC family
group2883, aspartate racemase
group2880, TetM/TetO subfamily tetracycline resistance protein
group2881, FAD-dependent pyridine nucleotide-disulphide oxidoreductase
group2886, MFS transporter
group2887, hypothetical protein
group2884, transcriptional regulator%2C MarR family with acetyltransferase activity
group2885, transcriptional regulator%2C TetR family
group2888, transcriptional regulator%2C HxlR family
group2889, NmrA family protein
group17135, Transketolase central region
group17134, alpha/beta hydrolase fold protein
group17137, Protocatechuate 4%2C5-dioxygenase beta chain
group18119, CoA reductase
group17131, hypothetical protein
group17130, urease-associated protein
group17133, hypothetical protein
group17132, oxidoreductase
group18112, hypothetical protein
group18113, hypothetical protein
group18110, transposase
group18111, hypothetical protein
group17139, diguanylate cyclase
group17138, 5-carboxymethyl-2-hydroxymuconate Delta-isomerase
group18114, hypothetical protein
group18115, hypothetical protein
group12816, hypothetical protein
group16848, secretion protein HlyD family protein
group16849, hypothetical protein
group16846, hypothetical protein
group16847, adenylate/guanylate cyclase with TPR repeats
group16844, NmrA family protein
group16845, diguanylate cyclase/phosphodiesterase with PAS/PAC sensor(s)
group16842, hypothetical protein
group16843, hypothetical protein
group16840, hypothetical protein
group16841, hypothetical protein
group20793, NmrA family protein
group20792, hypothetical protein
group20791, hypothetical protein
group20790, hypothetical protein
group20797, hypothetical protein
group20796, hypothetical protein
group20795, hypothetical protein
group20794, NmrA family protein
group20799, hypothetical protein
group20798, hypothetical protein
group420-2, conjugal transfer protein TrbI
group20245, Alpha/beta hydrolase fold-3 domain protein
group20244, hypothetical protein
group20247, hypothetical protein
group20246, hypothetical protein
group20241, short-chain dehydrogenase/reductase SDR
group20240, sodium-dependent inorganic phosphate (Pi) transporter
group20243, glucose-methanol-choline oxidoreductase
group20242, AraC family transcriptional regulator
group20249, hypothetical protein
group20248, peptide deformylase
group16268, aminotransferase
group16269, hypothetical protein
group16262, Glutamate--putrescine ligase
group16263, nitrilotriacetate monooxygenase component A
group16260, GCN5-related N-acetyltransferase
group16261, hypothetical protein
group16266, polar amino acid ABC transporter%2C inner membrane subunit
group16267, extracellular solute-binding protein family 3
group16264, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group16265, polar amino acid ABC transporter%2C inner membrane subunit
group9269, GDP-mannose 4%2C6-dehydratase
group9268, hypothetical protein
group9267, hypothetical protein
group9266, hypothetical protein
group9265, Methyltransferase type 11
group9264, nucleotidyltransferase
group9263, nucleotidyltransferase
group9262, hypothetical protein
group9261, hypothetical protein
group9260, hypothetical protein
group6439, hypothetical protein
group6438, hypothetical protein
group6437, hypothetical protein
group6436, ACS59136.1 polysaccharide deacetylase (plasmid)
group6435, ACS59147.1 Electron transfer flavoprotein alpha/beta-subunit (plasmid)
group6434, ACS59141.1 4Fe-4S ferredoxin iron-sulfur binding domain protein (plasmid)
group6433, transposase IS66
group6432, hypothetical protein
group6431, NADH:ubiquinone oxidoreductase subunit H
group6430, NADH-quinone oxidoreductase subunit I
group13724, hypothetical protein
group13725, hypothetical protein
group13726, hypothetical protein
group13727, hypothetical protein
group13720, hypothetical protein
group13721, peptidase S49
group13722, hypothetical protein
group13723, serine recombinase
group13728, hypothetical protein
group13729, ATPase AAA
group15768, hypothetical protein
group15769, hypothetical protein
group15766, hypothetical protein
group15767, hypothetical protein
group15764, hypothetical protein
group15765, Methyltransferase type 11
group15762, hypothetical protein
group15763, hypothetical protein
group15760, hypothetical protein
group15761, hypothetical protein
group9405-2, hypothetical protein
group15188, transposase IS3/IS911 family protein
group15189, hypothetical protein
group15182, hypothetical protein
group15183, hypothetical protein
group15180, hypothetical protein
group15181, hypothetical protein
group15186, IS66 Orf2 family protein
group15187, IS66 Orf2 family protein
group15184, hypothetical protein
group15185, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group9222-2, Integrase catalytic region
group8327, hypothetical protein
group1560, proton-translocating NADH-quinone oxidoreductase%2C chain N
group1561, biotin/acetyl-CoA-carboxylase ligase
group17856, hypothetical protein
group17857, hypothetical protein
group17854, hypothetical protein
group17855, hypothetical protein
group17852, hypothetical protein
group17853, hypothetical protein
group17850, hypothetical protein
group17851, hypothetical protein
group17858, hypothetical protein
group17859, hypothetical protein
group1740-2, hypothetical protein
group1483, transcriptional regulator%2C MerR family
group1482, integration host factor%2C alpha subunit
group5623, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5622, rhamnose ABC transporter%2C periplasmic rhamnose-binding protein
group5621, transcriptional regulator%2C DeoR family
group8212, D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding protein
group5627, carbohydrate kinase FGGY
group5626, L-rhamnose 1-epimerase
group5625, branched-chain amino acid ABC transporter permease
group7037-2, acyltransferase 3
group5624, Monosaccharide-transporting ATPase
group4141, NAD-glutamate dehydrogenase
group4140, major facilitator superfamily MFS_1
group4143, Carbonate dehydratase
group4142, pyridoxal kinase
group4145, lytic murein transglycosylase
group4144, diguanylate cyclase
group4147, hypothetical protein
group4146, aspartate-semialdehyde dehydrogenase
group4149, hypothetical protein
group4148, Alkaline phosphatase
group8822, transposase IS630-like protein
group8823, hypothetical protein
group5816, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5817, succinic semialdehyde dehydrogenase
group5810, Luciferase-like monooxygenase
group5811, Aldehyde Dehydrogenase
group8824, pathogenesis-related protein
group5813, extracellular solute-binding protein family 1
group8828, 3-oxoadipate CoA-transferase subunit B
group8829, hypothetical protein
group5818, endoribonuclease
group5819, polyamine ABC transporter permease
group99, proline racemase
group98, D-amino acid dehydrogenase
group91, hypothetical protein
group90, hypothetical protein
group93, Methyltransferase type 12
group92, hypothetical protein
group95, oxidoreductase
group94, transcriptional regulator%2C TetR family
group97, hypothetical protein
group96, hypothetical protein
group4497, histidinol-phosphate aminotransferase
group4496, Methyltransferase type 11
group19409, hypothetical protein
group4494, hypothetical protein
group4493, hypothetical protein
group4492, hypothetical protein
group4491, ribosomal protein L28
group4490, hypothetical protein
group19403, hypothetical protein
group19402, hypothetical protein
group19401, hypothetical protein
group19400, hypothetical protein
group19407, transcriptional regulator%2C AraC family
group19406, hypothetical protein
group4499, GCN5-related N-acetyltransferase
group4498, Prephenate dehydrogenase
group8798, WGR domain protein
group8799, transposase
group8790, transposase IS66
group8791, transposase IS630-like protein
group8792, transposase
group8793, transposase
group8794, hypothetical protein
group8795, hypothetical protein
group7277-2, transposase
group8797, transcriptional regulator%2C LysR family
group1511, polysaccharide export protein
group1510, glycosyl transferase group 1
group1513, hypothetical protein
group1512, lipopolysaccharide biosynthesis protein
group1515, cytochrome oxidase assembly
group1514, hypothetical protein
group1517, N-acetyl-gamma-glutamyl-phosphate reductase
group1516, hypothetical protein
group1519, drug resistance transporter%2C Bcr/CflA subfamily
group1518, agmatinase
group750, hypothetical protein
group3917, ACS59151.1 nitrogenase MoFe cofactor biosynthesis protein NifE (plasmid)
group3916, ACS59152.1 nitrogenase molybdenum-iron cofactor biosynthesis protein NifN (plasmid)
group3915, transposase IS3 family protein
group3914, transposase
group3913, transposase
group3912, transposase IS66
group3911, IS66 Orf2 family protein
group3910, IS66 Orf2 family protein
group3919, ACS59149.1 nitrogenase molybdenum-iron protein alpha chain (plasmid)
group3918, ACS59150.1 nitrogenase molybdenum-iron protein beta chain (plasmid)
group5366, nucleotide sugar dehydrogenase
group5367, putative adenylate/guanylate cyclase
group5364, transcriptional regulator%2C LysR family
group5365, GCN5-related N-acetyltransferase
group5362, polar amino acid ABC transporter%2C inner membrane subunit
group5363, amino acid ABC transporter
group5360, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5361, polar amino acid ABC transporter%2C inner membrane subunit
group5368, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5369, extracellular solute-binding protein family 5
group5955, hypothetical protein
group5954, hypothetical protein
group17946, hypothetical protein
group5956, hypothetical protein
group5951, Inorganic triphosphatase
group5950, NUDIX hydrolase
group17942, transposase
group5952, DNA mismatch repair protein MutT
group10954, transposase IS3/IS911 family protein
group735, polar amino acid ABC transporter%2C inner membrane subunit
group734, homocysteine S-methyltransferase
group737, extracellular solute-binding protein family 3
group736, polar amino acid ABC transporter%2C inner membrane subunit
group731, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group730, NMT1/THI5 like domain protein
group733, transcriptional regulator%2C MarR family
group732, Chloride channel core
group739, transcriptional regulator%2C AsnC family
group738, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group20009, hypothetical protein
group20008, hypothetical protein
group20003, hypothetical protein
group20002, hypothetical protein
group20001, hypothetical protein
group20000, hypothetical protein
group20007, hypothetical protein
group20006, hypothetical protein
group20005, hypothetical protein
group20004, hypothetical protein
group10958, hypothetical protein
group15354, hypothetical protein
group2356, NAD+ synthetase
group2357, hypothetical protein
group2354, phospho-2-dehydro-3-deoxyheptonate aldolase
group2355, WD40 domain protein beta Propeller
group2352, methyl-accepting chemotaxis sensory transducer
group2353, hypothetical protein
group2350, major facilitator superfamily MFS_1
group2351, hypothetical protein
group2358, Glyoxalase/bleomycin resistance protein/dioxygenase
group2359, glutathione-dependent formaldehyde-activating GFA
group9461, PAS/PAC sensor signal transduction histidine kinase
group9460, chemotaxis protein CheY
group9463, (2Fe-2S)-binding protein
group9462, PAS/PAC sensor signal transduction histidine kinase
group9465, Ti-type conjugative transfer relaxase TraA
group9464, acetyltransferase
group9467, hypothetical protein
group9466, Ti-type conjugative transfer relaxase TraA
group9469, transposase
group9468, hypothetical protein
group6631, beta-lactamase domain protein
group6630, hypothetical protein
group6633, histidine ammonia-lyase
group6632, hypothetical protein
group6635, hypothetical protein
group6634, hypothetical protein
group6637, hypothetical protein
group6636, amidohydrolase
group6639, Cocaine esterase
group6638, CMP/dCMP deaminase zinc-binding protein
group758, Alcohol dehydrogenase GroES domain protein
group1138-2, Patatin
group7325, hypothetical protein
group7326, hypothetical protein
group7327, ACS59130.1 maltose O-acetyltransferase (plasmid)
group7320, transposase
group7321, hypothetical protein
group7322, riboflavin biosynthesis protein RibD
group7323, kinase
group11195-2, transcriptional regulator%2C AraC family
group7328, hypothetical protein
group7329, membrane protein
group19986, hypothetical protein
group19987, hypothetical protein
group19984, hypothetical protein
group19985, hypothetical protein
group19982, hypothetical protein
group19983, hypothetical protein
group19980, hypothetical protein
group19981, hypothetical protein
group14761, cytochrome P450
group9571, hypothetical protein
group19988, hypothetical protein
group19989, hypothetical protein
group6987, transposase
group6986, transposase
group6985, transposase
group6984, transposase
group6983, hypothetical protein
group6982, hypothetical protein
group6981, hypothetical protein
group6980, peptidase M16 domain protein
group13522, hypothetical protein
group6989, Integrase catalytic region
group9576, hypothetical protein
group20919, hypothetical protein
group20918, permease
group9575, hypothetical protein
group20911, hypothetical protein
group20910, hypothetical protein
group20913, hypothetical protein
group9574, transposase IS66
group20915, hypothetical protein
group20914, hypothetical protein
group20917, hypothetical protein
group20916, hypothetical protein
group3009, ErfK/YbiS/YcfS/YnhG family protein
group3008, hypothetical protein
group3001, ribonuclease T2
group3000, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group3003, hypothetical protein
group3002, lysophospholipase
group3005, thiamine pyrophosphate protein domain protein TPP-binding protein
group3004, L-carnitine dehydratase/bile acid-inducible protein F
group3007, hypothetical protein
group3006, Endoribonuclease L-PSP
group7580, plasmid stabilization protein
group7581, hypothetical protein
group7582, hypothetical protein
group7583, transposase IS66
group7584, transposase IS66
group7585, transposase IS630-like protein
group7586, hypothetical protein
group7587, hypothetical protein
group7588, binding-protein-dependent transport systems inner membrane component
group7589, transposase
group17496, hypothetical protein
group17497, hypothetical protein
group17494, hypothetical protein
group1986, cytochrome c biogenesis protein transmembrane region
group1987, hypothetical protein
group1984, Auxin Efflux Carrier
group1985, beta-lactamase domain protein
group1982, hypothetical protein
group1983, Ubiquinone biosynthesis hydroxylase%2C UbiH/UbiF/VisC/COQ6 family
group1980, hypothetical protein
group1981, nitrite/sulfite reductase hemoprotein beta-component ferrodoxin domain protein
group17492, hypothetical protein
group1988, CsbD family protein
group1989, hypothetical protein
group17490, integrase
group17491, Alcohol dehydrogenase zinc-binding domain protein
group4808, aldo/keto reductase
group4809, transcriptional regulator%2C LysR family
group4804, ribosomal protein L20
group4805, phenylalanyl-tRNA synthetase%2C alpha subunit
group4806, phenylalanyl-tRNA synthetase%2C beta subunit
group4807, hypothetical protein
group4800, transglutaminase family protein cysteine peptidase BTLCP
group4801, 2-hydroxymuconic semialdehyde hydrolase
group4802, translation initiation factor IF-3
group4803, ribosomal protein L35
group5885-2, binding-protein-dependent transport systems inner membrane component
group10974-3, transposase IS66
group1140-2, 3-hydroxybutyrate dehydrogenase
group3302, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group19936, hypothetical protein
group3300, D-xylose ABC transporter%2C periplasmic substrate-binding protein
group3301, inner-membrane translocator
group3306, glycosyl transferase
group3307, glycosyl transferase
group3304, hypothetical protein
group3305, NAD-dependent epimerase/dehydratase
group14655, short-chain dehydrogenase/reductase SDR
group14654, enoyl-CoA hydratase
group14657, fructose-bisphosphate aldolase
group14656, succinic semialdehyde dehydrogenase
group14651, diguanylate cyclase/phosphodiesterase
group14650, putative exported protein of unknown function
group14653, Enoyl-CoA hydratase/isomerase
group14652, hypothetical protein
group14659, hypothetical protein
group14658, hypothetical protein
group13027, hypothetical protein
group13026, hypothetical protein
group13025, hypothetical protein
group13024, hypothetical protein
group13023, hypothetical protein
group13022, hypothetical protein
group13021, hypothetical protein
group13020, prevent-host-death family protein
group13029, hypothetical protein
group13028, hypothetical protein
group1537, hypothetical protein
group1536, histone family protein DNA-binding protein
group5694, glycogen debranching enzyme GlgX
group1534, ATP-dependent Clp protease%2C ATP-binding subunit ClpX
group1533, ATP-dependent Clp protease proteolytic subunit
group1532, diguanylate cyclase
group1531, cytochrome P450
group1530, diguanylate phosphodiesterase
group17308, hypothetical protein
group17309, hypothetical protein
group17302, hypothetical protein
group17303, alpha/beta hydrolase fold protein
group17300, hypothetical protein
group17301, hypothetical protein
group17306, hypothetical protein
group17307, hypothetical protein
group17304, L-alanine exporter AlaE
group17305, hypothetical protein
group1539, aldo/keto reductase
group16659, (2Fe-2S)-binding domain protein
group16658, molybdopterin dehydrogenase FAD-binding protein
group16657, YCII-related protein
group16656, hypothetical protein
group16655, hypothetical protein
group16654, hypothetical protein
group16653, methyl-accepting chemotaxis sensory transducer
group16652, succinic semialdehyde dehydrogenase
group16651, Glutaredoxin-like protein NrdH
group16650, Mono(2-hydroxyethyl) terephthalate hydrolase
group13683, hypothetical protein
group13682, Integrase catalytic region
group13681, hypothetical protein
group13680, hypothetical protein
group13687, hypothetical protein
group13686, hypothetical protein
group13685, hypothetical protein
group13684, hypothetical protein
group13689, hypothetical protein
group13688, hypothetical protein
group12374, hypothetical protein
group12375, transposase
group12376, transposase IS3/IS911 family protein
group12377, transposase
group12370, Putative N-acetylmannosamine-6-phosphate 2-epimerase
group12371, transcriptional regulator%2C RpiR family
group12372, hypothetical protein
group12373, transposase IS21
group12378, transposase
group12379, transposase IS21
group17245-3, hypothetical protein
group17245-2, hypothetical protein
group13975, hypothetical protein
group13974, hypothetical protein
group13977, hypothetical protein
group13976, hypothetical protein
group13971, hypothetical protein
group13970, hypothetical protein
group13973, hypothetical protein
group13972, hypothetical protein
group13979, hypothetical protein
group13978, hypothetical protein
group12088, hypothetical protein
group12089, hypothetical protein
group12086, hypothetical protein
group12087, transposase
group12084, hypothetical protein
group12085, hypothetical protein
group12082, hypothetical protein
group12083, hypothetical protein
group12080, Putative ATP-dependent DNA helicase YjcD
group12081, hypothetical protein
group6368-2, phosphopantetheinyl transferase
group15685, hypothetical protein
group15684, hypothetical protein
group15687, hypothetical protein
group15686, transposase
group15681, HupE/UreJ protein
group15680, hypothetical protein
group15683, thiamine pyrophosphate protein domain protein TPP-binding protein
group15682, FAD-dependent pyridine nucleotide-disulphide oxidoreductase
group15689, hypothetical protein
group15688, hypothetical protein
group15539, hypothetical protein
group15538, hypothetical protein
group15537, transposase
group15536, hypothetical protein
group15535, ABC transporter substrate-binding protein
group15534, hypothetical protein
group15533, hypothetical protein
group15532, hypothetical protein
group15531, hypothetical protein
group15530, hypothetical protein
group5344, transporter
group8113, Integrase catalytic region
group8110, aldo/keto reductase
group5347, magnesium chelatase
group8116, hypothetical protein
group8117, transposase IS30
group8114, transcriptional regulator
group5343, methyltransferase FkbM family protein
group7619-2, Group II intron-encoded protein LtrA
group7417-2, putative amidase expression-regulating protein
group5942-4, transposase IS630-like protein
group3962-3, hypothetical protein
group6645-2, extracellular solute-binding protein family 1
group7878, hypothetical protein
group7879, hypothetical protein
group7870, transposase IS5 family protein
group7871, hypothetical protein
group7872, hypothetical protein
group7873, hypothetical protein
group7874, glycoside hydrolase family 2 sugar binding protein
group7875, aldehyde oxidase
group7876, aldo/keto reductase
group7877, hypothetical protein
group915, short-chain dehydrogenase/reductase SDR
group914, Dimethylmenaquinone methyltransferase
group917, peptide methionine sulfoxide reductase
group916, transcriptional regulator%2C LysR family
group911, inner-membrane translocator
group910, inner-membrane translocator
group913, Nitrilase/cyanide hydratase and apolipoprotein N-acyltransferase
group912, N-isopropylammelide isopropylaminohydrolase
group919, binding-protein-dependent transport systems inner membrane component
group918, extracellular solute-binding protein family 1
group2463-2, Integrase catalytic region
group2463-3, Integrase catalytic region
group2463-4, Integrase catalytic region
group2961, DNA ligase%2C NAD-dependent
group2960, GCN5-related N-acetyltransferase
group2963, DNA repair protein RecN
group2962, hypothetical protein
group2965, UDP-3-0-acyl N-acetylglucosamine deacetylase
group2964, membrane protein
group2967, cell division protein FtsA
group2966, cell division protein FtsZ
group2969, D-alanine/D-alanine ligase
group2968, cell division protein FtsQ
group4750, type II secretion system protein E
group4751, type II secretion system protein
group4752, type II secretion system protein
group4753, Lysine exporter protein (LYSE/YGGA)
group4754, Tetratricopeptide TPR_4
group4755, Leucyl aminopeptidase
group4756, transcriptional regulator%2C MarR family
group4757, NLP/P60 protein
group4758, Amidase
group4759, binding-protein-dependent transport systems inner membrane component
group8615, hypothetical protein
group8614, transposase IS4 family protein
group8617, transposase IS66
group8616, transposase IS66
group8611, methyltransferase type 11
group8610, hypothetical protein
group8613, lysozyme
group8612, membrane protein
group8619, hypothetical protein
group8618, transposase
group13815-2, Integrase catalytic region
group10158, hypothetical protein
group10159, hypothetical protein
group10156, hypothetical protein
group10157, hypothetical protein
group10154, hypothetical protein
group10155, hypothetical protein
group10152, hypothetical protein
group10153, hypothetical protein
group10150, hypothetical protein
group10151, hypothetical protein
group9054, hypothetical protein
group9055, hypothetical protein
group9056, transposase
group9057, transposase
group9050, hypothetical protein
group9051, hypothetical protein
group9052, hypothetical protein
group9053, hypothetical protein
group9058, transposase IS110
group9059, transposase
group1700, maleylacetoacetate isomerase
group1701, hypothetical protein
group1702, Patatin
group1703, UspA domain protein
group1704, heavy metal translocating P-type ATPase
group1705, transcriptional regulator%2C TraR/DksA family
group1706, heavy metal translocating P-type ATPase
group1707, UspA domain protein
group1708, pyridoxamine 5'-phosphate oxidase-related FMN-binding protein
group1709, hypothetical protein
group7274-4, hypothetical protein
group8899, hypothetical protein
group5866, hypothetical protein
group3706, hypothetical protein
group3707, UTP-glucose-1-phosphate uridylyltransferase
group3704, hypothetical protein
group3705, KpsF/GutQ family protein
group3702, ferrochelatase
group3703, band 7 protein
group3700, hypothetical protein
group3701, 5'-Nucleotidase domain protein
group3708, lytic murein transglycosylase
group3709, hypothetical protein
group670, chromosome segregation protein SMC
group671, pyruvate phosphate dikinase
group672, hypothetical protein
group673, hypothetical protein
group674, hypothetical protein
group675, hypothetical protein
group676, hypothetical protein
group677, saccharopine dehydrogenase-like oxidoreductase
group678, putative thiol-disulphide oxidoreductase DCC
group679, hypothetical protein
group16419, hypothetical protein
group16418, transcriptional regulator%2C LysR family
group16415, putative addiction module antidote protein%2C CopG/Arc/MetJ family
group16414, hypothetical protein
group16417, hypothetical protein
group16416, histidine kinase
group16411, hypothetical protein
group16410, hypothetical protein
group16413, hypothetical protein
group16412, hypothetical protein
group6284, hypothetical protein
group6285, aldo/keto reductase
group6286, transcriptional regulator%2C LysR family
group6287, general stress protein
group6280, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group6281, oxidoreductase
group6282, hypothetical protein
group6283, transcriptional regulator%2C XRE family
group6288, alkylated DNA repair protein
group6289, hypothetical protein
group11061-2, NADH:flavin oxidoreductase/NADH oxidase
group21149, hypothetical protein
group21148, ABC transporter related
group21141, Conjugal transfer TraD family protein
group21140, hypothetical protein
group21143, hypothetical protein
group21142, hypothetical protein
group21145, hypothetical protein
group21144, hypothetical protein
group21147, hypothetical protein
group21146, signal transduction histidine kinase
group6860, iron-containing alcohol dehydrogenase
group6861, hypothetical protein
group6862, cation:proton antiporter
group6863, Formate hydrogenlyase subunit 4
group6864, Hydrogenase-4 component E
group6865, proton-translocating NADH-quinone oxidoreductase%2C chain M
group6866, NADH dehydrogenase subunit D
group6867, NADH-quinone oxidoreductase%2C B subunit
group6868, hypothetical protein
group6869, universal stress protein UspA
group10978, hypothetical protein
group10979, hypothetical protein
group10970, extracellular solute-binding protein family 3
group10971, dihydroxyacetone kinase
group10972, (4S)-4-hydroxy-5-phosphonooxypentane-2%2C3-dione isomerase
group10973, major facilitator superfamily MFS_1
group10974, transposase IS66
group10975, Alcohol dehydrogenase zinc-binding domain protein
group10976, isochorismatase
group10977, hypothetical protein
group15339, hypothetical protein
group15338, hypothetical protein
group15335, Hydrolase of the alpha/beta superfamily-like protein
group15334, hypothetical protein
group15337, glycosyl transferase family 2
group15336, transposase IS110
group15331, transposase
group15330, branched-chain amino acid ABC transporter substrate-binding protein
group15333, short-chain dehydrogenase/reductase SDR
group15332, hypothetical protein
group10259-2, beta-lactamase
group8765, hypothetical protein
group8764, hypothetical protein
group8767, hypothetical protein
group8766, hypothetical protein
group10750, hypothetical protein
group8760, hypothetical protein
group8763, transposase
group8762, transposase IS110 family protein
group18567, hypothetical protein
group8768, hypothetical protein
group15803, hypothetical protein
group15802, hypothetical protein
group15801, hypothetical protein
group15800, hypothetical protein
group15807, hypothetical protein
group15806, hypothetical protein
group15805, hypothetical protein
group15804, hypothetical protein
group15809, hypothetical protein
group15808, transcriptional regulator%2C MerR family
group11366, ABC transporter substrate-binding protein
group11367, transcriptional regulator
group11364, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group11365, binding-protein-dependent transport systems inner membrane component
group11362, oxidoreductase domain protein
group11363, hypothetical protein
group11360, putative addiction module antidote protein%2C CopG/Arc/MetJ family
group11361, plasmid stabilization system
group11368, Choline dehydrogenase
group11369, carbohydrate kinase FGGY
group17405, hypothetical protein
group17404, hypothetical protein
group17407, hypothetical protein
group17406, hypothetical protein
group17401, hypothetical protein
group17400, Radical SAM domain protein
group17403, AsnC family transcriptional regulator
group17402, hypothetical protein
group17409, hypothetical protein
group17408, hypothetical protein
group3391, amidase%2C hydantoinase/carbamoylase family
group3390, transcriptional regulator%2C TetR family
group3393, hypothetical protein
group3392, dihydropyrimidinase
group3395, binding-protein-dependent transport systems inner membrane component
group3394, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group9993, Integrase catalytic region
group3396, binding-protein-dependent transport systems inner membrane component
group16758, hypothetical protein
group16759, phenazine biosynthesis protein PhzF family protein
group16752, hypothetical protein
group16753, hypothetical protein
group16750, porin
group16751, hypothetical protein
group16756, hypothetical protein
group16757, membrane protein
group16754, Sel1 domain protein repeat-containing protein
group16755, hypothetical protein
group18690, hypothetical protein
group12815, hypothetical protein
group12814, hypothetical protein
group12125, transcriptional regulator%2C LysR family
group12124, hypothetical protein
group12127, NAD-dependent epimerase/dehydratase
group12126, hypothetical protein
group12121, transposase IS21
group12120, transposase
group12123, alpha/beta hydrolase fold protein
group12122, hypothetical protein
group6369-2, 30S ribosomal protein S1
group12129, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group12128, transposase
group14355, hypothetical protein
group8691-3, tartrate dehydrogenase
group8691-2, 3-isopropylmalate dehydrogenase
group9384, Parallel beta-helix repeat protein
group9385, hypothetical protein
group9386, hypothetical protein
group8457, Glyoxalase/bleomycin resistance protein/dioxygenase
group8456, NADPH-dependent FMN reductase
group8455, 2-oxo-hepta-3-ene-1%2C7-dioic acid hydratase
group9387, hypothetical protein
group8453, 3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase
group8452, 5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
group8451, 5-carboxymethyl-2-hydroxymuconate isomerase
group8450, aminoglycoside phosphotransferase
group12811, transposase IS3
group8459, 5-carboxymethyl-2-hydroxymuconate isomerase
group8458, transcriptional regulator%2C IclR family
group9382, ErfK/YbiS/YcfS/YnhG family protein
group9383, hypothetical protein
group12810, Integrase catalytic region
group8094-3, LacI family transcriptional regulator
group15478, hypothetical protein
group15479, hypothetical protein
group12813, hypothetical protein
group15472, hypothetical protein
group15473, hypothetical protein
group15470, ribokinase
group15471, hypothetical protein
group15476, hypothetical protein
group15477, hypothetical protein
group15474, hypothetical protein
group15475, conjugal transfer protein TrbJ
group1639, ribosomal protein L18
group3548, adenine deaminase
group3549, amidohydrolase
group3540, Phosphoribosylaminoimidazolesuccinocarboxamide synthase
group3541, transcriptional regulator%2C TetR family
group3542, efflux transporter%2C RND family%2C MFP subunit
group3543, transporter%2C hydrophobe/amphiphile efflux-1 (HAE1) family
group3544, RND efflux system%2C outer membrane lipoprotein%2C NodT family
group3545, transcriptional regulator%2C LacI family
group3546, hypothetical protein
group3547, Inosine/uridine-preferring nucleoside hydrolase
group7202-2, binding-protein-dependent transport systems inner membrane component
group18970, hypothetical protein
group18971, NAD-dependent epimerase/dehydratase
group18972, hypothetical protein
group18973, hypothetical protein
group18974, hypothetical protein
group18975, GCN5-related N-acetyltransferase
group18976, isochorismatase hydrolase
group18977, hypothetical protein
group18978, hypothetical protein
group18979, Extensin family protein
group11092, Tyrocidine synthase 3
group4230, 17 kDa surface antigen
group11094, hypothetical protein
group4236, RNA polymerase%2C sigma 32 subunit%2C RpoH
group11096, hypothetical protein
group11097, hypothetical protein
group5548, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group5549, binding-protein-dependent transport systems inner membrane component
group5542, binding-protein-dependent transport systems inner membrane component
group1042, hypothetical protein
group1041, dienelactone hydrolase
group5969-2, hypothetical protein
group5969-3, hypothetical protein
