group7136-2, chromosome-01
group16283, chromosome-01
group16284, chromosome-04
group16285, chromosome-01
group16286, chromosome-01
group16287, chromosome-01
group16288, chromosome-06
group16289, chromosome-03
group9865, chromosome-01
group9864, chromosome-01
group9867, chromosome-01
group9866, chromosome-01
group9861, chromosome-01
group9860, chromosome-01
group9863, chromosome-01
group9862, chromosome-01
group9869, chromosome-01
group9868, chromosome-01
group10257-2, chromosome-03
group8320, chromosome-02
group5735-4, fragment
group8323, plasmid-Rh05
group7232, chromosome-01
group7233, chromosome-01
group7230, fragment
group7231, chromosome-01
group7236, plasmid-Rh02
group7237, plasmid-Rh02
group7234, chromosome-01
group7235, chromosome-01
group7238, chromosome-03
group7239, chromosome-03
group5306, plasmid-Rh01
group15160, fragment
group15161, fragment
group15162, fragment
group15163, chromosome-02
group15164, chromosome-02
group15165, chromosome-27
group15166, chromosome-27
group15167, chromosome-04
group15168, fragment
group15169, chromosome-03
group4958, plasmid-Rh01
group4959, plasmid-Rh01
group4952, plasmid-Rh01
group4953, plasmid-Rh01
group4950, plasmid-Rh01
group4951, plasmid-Rh01
group4956, plasmid-Rh01
group4957, plasmid-Rh01
group4954, plasmid-Rh01
group4955, plasmid-Rh01
group10053, fragment
group821, fragment
group820, fragment
group823, fragment
group822, fragment
group825, fragment
group824, fragment
group827, fragment
group826, fragment
group829, fragment
group828, fragment
group11263, plasmid-Rh02
group11262, fragment
group11261, fragment
group11260, plasmid-Rh01
group11267, plasmid-Rh05
group11266, fragment
group11265, chromosome-01
group11264, chromosome-00
group11269, chromosome-00
group11268, plasmid-Rh03
group19895, chromosome-12
group10055, fragment
group10559-2, plasmid-Rh02
group13131, fragment
group13130, plasmid-Rh02
group13133, plasmid-Rh03
group13132, fragment
group13135, fragment
group13134, plasmid-Rh03
group13137, fragment
group13136, fragment
group13139, fragment
group13138, fragment
group6469-2, plasmid-Rh04
group12778, chromosome-01
group12779, plasmid-Rh02
group12770, chromosome-13
group12771, fragment
group12772, fragment
group12773, plasmid-Rh01
group12774, chromosome-00
group12775, chromosome-00
group12776, fragment
group12777, fragment
group3947-2, fragment
group3947-3, fragment
group8228, fragment
group8229, fragment
group8220, fragment
group8221, fragment
group8222, plasmid-Rh05
group8223, fragment
group8224, plasmid-Rh08
group8225, plasmid-Rh08
group8226, fragment
group8227, plasmid-Rh02
group15209, chromosome-04
group15208, plasmid-Rh13
group15201, plasmid-Rh03
group15200, chromosome-04
group15203, fragment
group15202, fragment
group15205, chromosome-00
group15204, fragment
group15207, chromosome-00
group9678-2, chromosome-02
group3359, chromosome-00
group3358, chromosome-00
group3355, chromosome-00
group3354, chromosome-00
group3357, chromosome-00
group3356, chromosome-00
group3351, chromosome-00
group3350, chromosome-00
group3353, chromosome-00
group3352, chromosome-00
group5751-2, plasmid-Rh04
group2789, chromosome-00
group19274, fragment
group19275, fragment
group19276, fragment
group19277, fragment
group19270, plasmid-Rh01-circ
group19271, plasmid-Rh01-circ
group19272, plasmid-Rh01
group19273, fragment
group19278, fragment
group19279, fragment
group7938, plasmid-Rh04
group6759-2, fragment
group7936, fragment
group11061, plasmid-Rh02
group11060, chromosome-01
group11063, fragment
group11062, chromosome-00
group11065, plasmid-Rh02
group11064, plasmid-Rh02
group11067, plasmid-Rh04
group11066, fragment
group11069, fragment
group11068, plasmid-Rh07
group599, chromosome-01
group598, chromosome-01
group5517, plasmid-Rh02
group5516, plasmid-Rh02
group5511, plasmid-Rh02
group5510, plasmid-Rh02
group5513, plasmid-Rh02
group5512, plasmid-Rh02
group591, chromosome-01
group590, chromosome-01
group593, chromosome-01
group592, chromosome-01
group595, chromosome-01
group594, chromosome-01
group597, chromosome-01
group596, chromosome-01
group18585, plasmid-Rh03
group18584, plasmid-Rh03
group18587, plasmid-Rh01-circ
group18586, plasmid-Rh05
group18581, plasmid-Rh03
group18580, plasmid-Rh01-circ
group18583, plasmid-Rh03
group18582, plasmid-Rh03
group18589, chromosome-03
group18588, plasmid-Rh01-circ
group19188, fragment
group19189, fragment
group19186, fragment
group19187, fragment
group19184, fragment
group19185, fragment
group19182, fragment
group19183, fragment
group19180, chromosome-00
group19181, chromosome-00
group18639, plasmid-Rh08
group18638, fragment
group18637, plasmid-Rh08
group18636, fragment
group18635, fragment
group18634, fragment
group18633, fragment
group18632, plasmid-Rh05
group18631, plasmid-Rh05
group18630, plasmid-Rh05
group20674, fragment
group20675, fragment
group20676, fragment
group20677, fragment
group20670, plasmid-Rh15
group20671, plasmid-Rh15
group20672, plasmid-Rh15
group20673, chromosome-08
group20678, plasmid-Rh01
group20679, plasmid-Rh01
group2565, chromosome-00
group2564, chromosome-00
group2567, chromosome-00
group2566, chromosome-00
group2561, chromosome-00
group2560, chromosome-00
group20588, chromosome-22
group2562, chromosome-00
group20586, chromosome-22
group20587, chromosome-22
group20584, chromosome-22
group20585, chromosome-22
group20582, chromosome-22
group20583, chromosome-22
group20580, plasmid-Rh07
group20581, chromosome-22
group5117, plasmid-Rh01
group8348, chromosome-01
group10008, fragment
group8347, chromosome-01
group17058, chromosome-01
group17059, chromosome-01
group17056, chromosome-01
group17057, chromosome-01
group17054, chromosome-01
group17055, chromosome-01
group17052, chromosome-03
group17053, fragment
group10006, chromosome-05
group10007, fragment
group6334, fragment
group6335, fragment
group6336, fragment
group6337, fragment
group6330, fragment
group6331, fragment
group6332, fragment
group6333, fragment
group16091, chromosome-12
group16090, chromosome-05
group16093, chromosome-22
group16092, chromosome-16
group16095, chromosome-03
group16094, plasmid-Rh01-circ
group16097, fragment
group16096, chromosome-03
group16099, plasmid-Rh01-circ
group16098, fragment
group7052-2, chromosome-05
group11843, chromosome-05
group11842, chromosome-00
group11841, chromosome-00
group11840, chromosome-00
group11847, chromosome-00
group11846, chromosome-00
group11845, chromosome-00
group11844, chromosome-00
group11849, chromosome-00
group11848, chromosome-00
group274, chromosome-01
group275, chromosome-01
group276, chromosome-01
group277, chromosome-01
group270, chromosome-01
group271, chromosome-01
group272, chromosome-01
group273, chromosome-01
group278, chromosome-01
group279, chromosome-01
group7005, plasmid-Rh01
group7004, fragment
group7007, fragment
group7006, fragment
group7001, chromosome-01
group7000, chromosome-01
group7003, plasmid-Rh01
group7002, fragment
group7009, fragment
group7008, fragment
group12578, fragment
group12579, plasmid-Rh02
group12576, chromosome-05
group12577, fragment
group12574, fragment
group12575, fragment
group12572, fragment
group12573, fragment
group12570, fragment
group12571, fragment
group14930, chromosome-22
group14931, chromosome-22
group14932, chromosome-22
group14933, fragment
group14934, fragment
group14935, fragment
group14936, chromosome-27
group14937, chromosome-27
group14938, chromosome-27
group14939, chromosome-27
group8605-2, fragment
group14066, chromosome-01
group14067, chromosome-12
group14064, chromosome-04
group14065, chromosome-06
group14062, chromosome-01
group14063, chromosome-01
group14060, chromosome-01
group14061, chromosome-01
group14068, fragment
group14069, chromosome-12
group16684, fragment
group16685, fragment
group9448-2, plasmid-Rh01
group16688, fragment
group16689, fragment
group7341-2, chromosome-01
group7341-4, chromosome-05
group7341-5, chromosome-00
group13306, chromosome-23
group13307, fragment
group13304, fragment
group13305, chromosome-12
group13302, chromosome-12
group13303, chromosome-12
group13300, chromosome-05
group13301, chromosome-05
group13308, fragment
group13309, fragment
group4004, chromosome-00
group4005, chromosome-00
group4006, chromosome-00
group4007, chromosome-00
group4000, chromosome-00
group4001, chromosome-00
group4002, chromosome-00
group4003, chromosome-00
group4008, chromosome-00
group4009, chromosome-00
group1234, chromosome-01
group8584, plasmid-Rh03
group8587, fragment
group8586, fragment
group8581, plasmid-Rh03
group1231, chromosome-01
group5751, plasmid-Rh04
group8582, plasmid-Rh03
group8589, fragment
group8588, fragment
group5759, plasmid-Rh07
group5758, plasmid-Rh07
group3913-2, fragment
group18039, plasmid-Rh01-circula
group18038, plasmid-Rh01-circula
group18035, plasmid-Rh01-circula
group18034, plasmid-Rh01
group18037, plasmid-Rh01-circula
group18036, plasmid-Rh01-circula
group18031, plasmid-Rh01-circula
group18030, plasmid-Rh01-circula
group18033, plasmid-Rh01-circula
group18032, plasmid-Rh01-circula
group4516-2, plasmid-Rh02
group2767, chromosome-00
group2766, chromosome-00
group2765, chromosome-00
group2764, chromosome-00
group2763, chromosome-00
group2762, chromosome-00
group2761, chromosome-04
group2760, chromosome-04
group2769, chromosome-00
group2768, chromosome-00
group8059, plasmid-Rh02
group8058, fragment
group8053, chromosome-06
group8052, fragment
group8051, fragment
group8050, fragment
group8057, chromosome-01
group8056, chromosome-06
group8055, chromosome-06
group8054, chromosome-06
group10799, fragment
group19849, fragment
group19848, fragment
group19843, chromosome-04
group19842, chromosome-04
group19841, fragment
group19840, fragment
group19847, fragment
group19846, chromosome-04
group19845, chromosome-04
group19844, chromosome-04
group3496, chromosome-00
group3497, chromosome-00
group3494, chromosome-00
group3495, chromosome-00
group3492, chromosome-00
group3493, chromosome-00
group3490, chromosome-00
group3491, chromosome-00
group18174, plasmid-Rh05
group3498, chromosome-00
group3499, chromosome-00
group3148, chromosome-00
group3149, chromosome-00
group3144, chromosome-00
group3145, chromosome-00
group3146, chromosome-00
group3147, chromosome-00
group3140, chromosome-00
group3141, chromosome-00
group3142, chromosome-00
group3143, chromosome-00
group6514, chromosome-00
group6515, chromosome-00
group6516, chromosome-00
group6517, chromosome-00
group6510, chromosome-00
group6511, chromosome-00
group6512, chromosome-04
group6513, chromosome-04
group6518, chromosome-00
group6519, fragment
group7647, fragment
group7646, fragment
group7645, plasmid-Rh07
group7644, fragment
group7643, fragment
group7642, fragment
group7641, fragment
group7640, fragment
group7649, fragment
group7648, fragment
group10790, fragment
group10791, fragment
group10792, fragment
group6758-2, fragment
group10793, fragment
group2282-2, plasmid-Rh02-circ
group10794, fragment
group10795, plasmid-Rh02
group10796, fragment
group14264, chromosome-24
group14265, plasmid-Rh02
group14266, fragment
group14267, fragment
group14260, chromosome-00
group14261, chromosome-03
group14262, fragment
group10797, fragment
group14268, chromosome-00
group14269, chromosome-01
group19025, fragment
group19024, fragment
group19027, fragment
group19026, fragment
group19021, fragment
group19020, plasmid-Rh05
group19023, fragment
group19022, fragment
group19029, fragment
group19028, fragment
group1179, chromosome-01
group1178, chromosome-01
group1177, chromosome-01
group1176, chromosome-01
group1175, chromosome-01
group1174, chromosome-01
group1173, chromosome-01
group1172, chromosome-01
group1171, chromosome-01
group1170, chromosome-01
group414, chromosome-01
group415, plasmid-Rh04
group416, chromosome-01
group417, plasmid-Rh06
group410, chromosome-01
group411, chromosome-01
group412, chromosome-01
group413, plasmid-Rh04
group418, chromosome-01
group419, chromosome-01
group17795, chromosome-01
group17794, chromosome-00
group17797, chromosome-03
group17796, chromosome-02
group17791, fragment
group17790, fragment
group17793, fragment
group17792, fragment
group18772, chromosome-06
group18773, chromosome-05
group18770, chromosome-06
group18771, chromosome-06
group18776, chromosome-10
group18777, chromosome-04
group18774, chromosome-10
group18775, chromosome-10
group11568, plasmid-Rh01
group11569, plasmid-Rh01
group11560, chromosome-00
group11561, chromosome-00
group11562, chromosome-00
group11563, chromosome-00
group11564, chromosome-00
group11565, chromosome-00
group11566, plasmid-Rh01
group11567, plasmid-Rh01
group10219, chromosome-01
group10218, chromosome-01
group17249, chromosome-19
group17248, fragment
group17247, fragment
group17246, fragment
group10213, chromosome-01
group17244, chromosome-00
group10215, chromosome-01
group10214, chromosome-01
group10217, chromosome-01
group10216, chromosome-01
group3382, chromosome-00
group10012-3, chromosome-02
group20425, fragment
group20424, fragment
group20427, fragment
group20426, fragment
group20421, fragment
group20420, fragment
group20423, fragment
group20422, fragment
group20429, fragment
group20428, fragment
group9089, fragment
group9088, fragment
group9087, fragment
group9086, fragment
group9085, fragment
group9084, fragment
group9083, fragment
group9082, fragment
group9081, fragment
group9080, plasmid-Rh05
group6259, fragment
group6258, plasmid-Rh03
group6257, plasmid-Rh03
group6256, plasmid-Rh03
group6255, plasmid-Rh03
group6254, plasmid-Rh03
group6253, plasmid-Rh03
group6252, plasmid-Rh03
group6251, plasmid-Rh03
group6250, plasmid-Rh03
group16118, plasmid-Rh02
group16119, fragment
group16114, plasmid-Rh02-circula
group16115, chromosome-00
group16116, plasmid-Rh02-circula
group16117, plasmid-Rh02-circula
group16110, plasmid-Rh02-circula
group16111, plasmid-Rh02-circula
group16112, plasmid-Rh02-circula
group16113, chromosome-03
group9555, chromosome-01
group9554, chromosome-01
group9557, fragment
group13547, chromosome-03
group9551, chromosome-01
group13541, chromosome-01
group13542, chromosome-01
group9552, chromosome-01
group13548, fragment
group13549, plasmid-Rh02
group3384, chromosome-00
group13898, chromosome-04
group13899, fragment
group13896, fragment
group13897, fragment
group13894, fragment
group13895, fragment
group13892, fragment
group13893, fragment
group13890, fragment
group13891, fragment
group15490, fragment
group15491, fragment
group15492, plasmid-Rh02+Rh04
group15493, chromosome-07
group15494, chromosome-00
group15495, chromosome-00
group15496, plasmid-Rh02+Rh04
group15497, plasmid-Rh02
group15498, chromosome-04
group15499, chromosome-06
group7664-2, fragment
group7664-3, chromosome-00
group18873, plasmid-Rh08
group17045-2, fragment
group5350-2, plasmid-Rh02
group5350-3, chromosome-11
group18876, plasmid-Rh08
group10813-2, fragment
group11151, chromosome-00
group11150, fragment
group14305, chromosome-06
group14304, chromosome-06
group14303, chromosome-06
group14302, chromosome-06
group11157, plasmid-Rh01
group11156, plasmid-Rh01
group4337-3, fragment
group10686, fragment
group10687, fragment
group10684, fragment
group10685, fragment
group10682, plasmid-Rh05
group10683, fragment
group5463, plasmid-Rh02
group5462, plasmid-Rh02
group7460, chromosome-03
group17658, plasmid-Rh08
group5468, plasmid-Rh02
group4637, chromosome-00
group4636, chromosome-00
group4635, chromosome-00
group4634, chromosome-00
group4633, chromosome-00
group4632, chromosome-00
group4631, chromosome-00
group4630, chromosome-00
group4639, chromosome-00
group4638, chromosome-00
group8938, chromosome-01
group8939, chromosome-05
group8930, chromosome-00
group8931, chromosome-00
group8932, chromosome-01
group8933, chromosome-11
group8934, plasmid-Rh03
group8935, fragment
group8936, fragment
group8937, fragment
group19559, plasmid-Rh01-circ
group19558, chromosome-04
group19555, chromosome-05
group19554, chromosome-04
group19557, chromosome-04
group19556, chromosome-09
group19551, fragment
group19550, plasmid-Rh01
group19553, fragment
group19552, fragment
group1371, chromosome-01
group1370, chromosome-01
group1373, chromosome-01
group1372, chromosome-01
group1375, chromosome-01
group1374, chromosome-01
group1377, chromosome-01
group1376, chromosome-01
group1379, chromosome-01
group1378, chromosome-01
group15820-2, plasmid-Rh02
group5278, plasmid-Rh01
group5279, plasmid-Rh01
group5274, plasmid-Rh01
group5275, plasmid-Rh01
group5276, plasmid-Rh01
group5277, plasmid-Rh01
group5270, plasmid-Rh01
group5271, plasmid-Rh01
group5272, plasmid-Rh01
group5273, plasmid-Rh01
group18202, chromosome-01
group18203, chromosome-01
group18200, chromosome-01
group18201, chromosome-01
group18206, chromosome-01
group18207, chromosome-05
group18204, chromosome-01
group18205, chromosome-01
group18208, chromosome-05
group18209, chromosome-05
group3905-2, fragment
group2136, chromosome-01
group2137, chromosome-01
group2134, chromosome-01
group2135, chromosome-01
group20159, plasmid-Rh15
group2133, chromosome-01
group2130, chromosome-01
group2131, chromosome-01
group20155, plasmid-Rh15
group20154, fragment
group20157, plasmid-Rh15
group20156, plasmid-Rh15
group20151, fragment
group20150, fragment
group20153, fragment
group20152, fragment
group3849, plasmid-Rh01
group3848, plasmid-Rh01
group3845, plasmid-Rh01
group3844, plasmid-Rh01
group3847, plasmid-Rh01
group3846, plasmid-Rh01
group3841, fragment
group3840, plasmid-Rh01
group3843, plasmid-Rh01
group3842, fragment
group9717, fragment
group9716, fragment
group9715, fragment
group9714, fragment
group9713, plasmid-Rh02
group9712, fragment
group9711, fragment
group9710, plasmid-Rh03
group9719, fragment
group9718, chromosome-04
group6727, fragment
group6726, fragment
group6725, fragment
group6724, fragment
group6723, fragment
group6722, fragment
group6721, fragment
group6720, fragment
group6729, fragment
group6728, fragment
group3269, chromosome-00
group3268, chromosome-00
group9224-2, fragment
group9224-3, fragment
group3261, chromosome-00
group3260, chromosome-00
group3263, chromosome-00
group3262, chromosome-00
group3265, chromosome-00
group3264, chromosome-00
group3267, chromosome-00
group3266, chromosome-00
group8553-4, fragment
group8553-5, fragment
group8553-2, chromosome-04
group8553-3, chromosome-05
group3917-2, fragment
group11441-2, plasmid-Rh12
group18989, chromosome-00
group18988, chromosome-00
group12929, chromosome-01
group12928, chromosome-01
group12925, plasmid-Rh01
group18980, chromosome-07
group12927, chromosome-01
group12926, plasmid-Rh04
group12921, fragment
group12920, plasmid-Rh08+Rh14
group12923, fragment
group18986, chromosome-00
group6451-3, fragment
group6451-2, fragment
group2855, chromosome-00
group14398, fragment
group2857, chromosome-00
group2856, chromosome-00
group2851, chromosome-00
group2850, chromosome-00
group2853, chromosome-00
group14399, fragment
group2859, chromosome-00
group2858, chromosome-00
group14435, chromosome-01
group14434, chromosome-01
group14437, chromosome-01
group14436, chromosome-01
group14431, chromosome-00
group14430, fragment
group14433, plasmid-Rh01
group14432, fragment
group19612, chromosome-04
group19613, chromosome-05
group19610, plasmid-Rh01-circ
group19611, chromosome-04
group14439, chromosome-01
group14438, chromosome-01
group19614, chromosome-05
group19615, chromosome-08
group10538, plasmid-Rh02
group10539, plasmid-Rh02
group10530, fragment
group10531, fragment
group10532, plasmid-Rh02
group10533, plasmid-Rh02
group10534, plasmid-Rh02
group10535, fragment
group10536, plasmid-Rh02
group10537, plasmid-Rh02
group14390, chromosome-01
group14391, fragment
group4323, chromosome-00
group4322, chromosome-00
group14394, fragment
group14395, fragment
group4327, chromosome-00
group14397, plasmid-Rh01
group17168, chromosome-12
group17169, chromosome-12
group17162, chromosome-12
group17163, chromosome-12
group17160, chromosome-06
group17161, chromosome-12
group17166, chromosome-12
group17167, chromosome-12
group17164, chromosome-12
group17165, chromosome-12
group7053-2, chromosome-01
group20218, plasmid-Rh04
group20219, plasmid-Rh04
group9952-2, chromosome-04
group9952-3, plasmid-Rh12
group20210, fragment
group20211, fragment
group20216, plasmid-Rh04
group20217, plasmid-Rh04
group20214, plasmid-Rh04
group20215, plasmid-Rh04
group12268, chromosome-00
group12269, chromosome-00
group12266, chromosome-00
group12267, chromosome-00
group12264, chromosome-00
group12265, chromosome-00
group12262, chromosome-00
group12263, chromosome-00
group12260, fragment
group12261, chromosome-05
group15558, chromosome-00
group8292-2, fragment
group5959, plasmid-Rh02
group12488, chromosome-03
group12489, chromosome-00
group12482, chromosome-01
group12483, chromosome-03
group12480, chromosome-01
group12481, chromosome-01
group12486, chromosome-03
group12487, chromosome-03
group12484, chromosome-03
group12485, chromosome-03
group5958, plasmid-Rh02
group8103-3, fragment
group15281, plasmid-Rh02
group15280, plasmid-Rh02
group15283, plasmid-Rh02+Rh04
group15282, plasmid-Rh02+Rh04
group15285, plasmid-Rh02+Rh04
group15284, plasmid-Rh02+Rh04
group15287, fragment
group15286, fragment
group15289, fragment
group15288, fragment
group9556-2, chromosome-07
group14888, chromosome-11
group14889, chromosome-05
group14884, chromosome-01
group14885, chromosome-10
group14886, chromosome-04
group14887, chromosome-04
group14880, chromosome-01
group14881, chromosome-01
group14882, chromosome-01
group14883, chromosome-01
group6066-2, plasmid-Rh04
group2878-2, plasmid-Rh01
group11074-2, fragment
group11442-2, plasmid-Rh12
group3958-2, fragment
group5777, plasmid-Rh06
group5776, plasmid-Rh04
group5779, plasmid-Rh04
group5778, plasmid-Rh07
group11031-2, plasmid-Rh02
group68, chromosome-01
group69, chromosome-01
group60, chromosome-01
group61, chromosome-01
group62, chromosome-01
group63, chromosome-01
group64, chromosome-01
group65, chromosome-01
group66, chromosome-01
group67, chromosome-01
group5847, fragment
group5846, fragment
group5845, fragment
group5844, fragment
group5843, fragment
group5842, fragment
group5841, fragment
group5840, fragment
group5849, fragment
group5848, fragment
group4466, chromosome-00
group10537-2, fragment
group4464, chromosome-00
group4465, chromosome-00
group4462, chromosome-00
group4463, chromosome-00
group4460, chromosome-00
group4461, chromosome-00
group4468, chromosome-00
group4469, chromosome-00
group8749, chromosome-03
group8748, chromosome-01
group5599, plasmid-Rh02
group5598, plasmid-Rh02
group10738, chromosome-01
group10739, chromosome-01
group10736, fragment
group10737, chromosome-01
group5597, plasmid-Rh02
group10735, fragment
group10732, fragment
group10733, fragment
group8745, fragment
group10731, fragment
group18509, chromosome-00
group18508, chromosome-04
group18505, chromosome-01
group18504, plasmid-Rh08
group18507, chromosome-04
group18506, chromosome-04
group18501, plasmid-Rh16-circul
group18500, plasmid-Rh08
group18503, plasmid-Rh08
group18502, fragment
group10080, fragment
group10081, fragment
group10082, fragment
group10083, fragment
group10084, plasmid-Rh03
group10085, fragment
group10086, fragment
group10087, fragment
group10088, chromosome-00
group10089, plasmid-Rh05
group5339, plasmid-Rh02
group5338, plasmid-Rh02
group5331, plasmid-Rh02
group5330, plasmid-Rh02
group5333, plasmid-Rh02
group5332, plasmid-Rh02
group5335, plasmid-Rh02
group5334, plasmid-Rh02
group5337, plasmid-Rh02
group5336, plasmid-Rh02
group1656, chromosome-01
group1657, chromosome-01
group1654, chromosome-01
group1655, chromosome-01
group1652, chromosome-01
group1653, chromosome-01
group1650, chromosome-01
group1651, chromosome-01
group4585-2, chromosome-01
group1658, chromosome-01
group1659, chromosome-01
group3658, chromosome-00
group3659, chromosome-00
group3654, chromosome-00
group3655, chromosome-00
group3656, chromosome-00
group3657, chromosome-00
group3650, chromosome-00
group3651, chromosome-00
group3652, chromosome-00
group3653, chromosome-00
group8076, fragment
group766, fragment
group6025, plasmid-Rh02
group764, fragment
group765, fragment
group6020, plasmid-Rh02
group763, fragment
group760, fragment
group6023, plasmid-Rh02
group6028, plasmid-Rh02
group6029, plasmid-Rh02
group768, fragment
group769, fragment
group16367, chromosome-04
group16366, chromosome-01
group16365, chromosome-01
group16364, chromosome-01
group16363, chromosome-03
group16362, chromosome-05
group16361, chromosome-01
group16360, chromosome-03
group340, chromosome-01
group16369, chromosome-07
group341, chromosome-01
group9906, chromosome-00
group9907, chromosome-00
group9904, chromosome-00
group9905, chromosome-00
group9902, chromosome-05
group9903, chromosome-05
group9900, chromosome-05
group9901, chromosome-05
group8079, plasmid-Rh02-circu
group343, chromosome-01
group9908, chromosome-00
group9909, chromosome-00
group10256-2, chromosome-03
group2309, chromosome-01
group2308, chromosome-01
group2301, chromosome-01
group2300, chromosome-01
group2303, chromosome-01
group2302, chromosome-01
group2305, chromosome-01
group2304, chromosome-01
group2307, chromosome-00
group2306, chromosome-01
group21013, plasmid-Rh02
group21012, plasmid-Rh01
group21011, chromosome-00
group21010, plasmid-Rh16
group21017, chromosome-01
group21016, chromosome-01
group21015, plasmid-Rh16
group21014, fragment
group21019, chromosome-00
group21018, chromosome-00
group6680, plasmid-Rh04
group6681, plasmid-Rh04
group6682, plasmid-Rh04
group6683, plasmid-Rh04
group6684, plasmid-Rh04
group6685, plasmid-Rh04
group6686, plasmid-Rh04
group6687, fragment
group6688, fragment
group6689, fragment
group5755-2, plasmid-Rh04
group7377, fragment
group7376, fragment
group7375, fragment
group7374, fragment
group7373, fragment
group7372, fragment
group7371, chromosome-00
group7370, chromosome-04
group7379, fragment
group7378, fragment
group6976, fragment
group6977, fragment
group6974, fragment
group6975, fragment
group6972, fragment
group6973, fragment
group6970, fragment
group6971, fragment
group6978, fragment
group6979, fragment
group7089, plasmid-Rh02
group7088, plasmid-Rh02
group7085, plasmid-Rh02
group7084, plasmid-Rh01
group7087, plasmid-Rh02
group7086, plasmid-Rh02
group8604-3, plasmid-Rh12
group8604-2, plasmid-Rh01
group7083, fragment
group7082, fragment
group15047, plasmid-Rh02
group15046, plasmid-Rh02
group15045, fragment
group15044, fragment
group15043, fragment
group15042, fragment
group15041, fragment
group15040, fragment
group15049, fragment
group15048, fragment
group4859, chromosome-00
group4858, chromosome-00
group4857, chromosome-00
group4856, chromosome-00
group4855, chromosome-00
group4854, chromosome-00
group4853, chromosome-00
group4852, chromosome-00
group4851, chromosome-00
group4850, chromosome-00
group15955, chromosome-24
group15954, chromosome-10
group15957, plasmid-Rh15
group15956, chromosome-00
group15951, chromosome-01
group15950, chromosome-10
group15953, chromosome-10
group15952, chromosome-10
group15959, chromosome-01
group15958, chromosome-01
group7143-2, chromosome-05
group7143-3, chromosome-04
group7143-6, chromosome-00
group7143-4, fragment
group7143-5, chromosome-00
group5758-2, fragment
group12082-3, fragment
group14608, fragment
group14609, fragment
group14602, fragment
group14603, fragment
group14600, fragment
group14601, fragment
group14606, fragment
group14607, fragment
group14604, fragment
group14605, fragment
group17559, plasmid-Rh04
group17558, plasmid-Rh02
group17557, plasmid-Rh02
group17556, fragment
group17555, fragment
group17554, fragment
group17553, fragment
group17552, fragment
group17551, fragment
group17550, fragment
group16608, chromosome-02
group16609, chromosome-02
group16604, chromosome-01
group16605, chromosome-01
group16606, plasmid-Rh02
group16607, chromosome-02
group16600, chromosome-01
group16601, chromosome-01
group16602, chromosome-01
group16603, chromosome-01
group13074, chromosome-07
group13075, chromosome-07
group13076, chromosome-02
group13077, chromosome-01
group13070, chromosome-05
group13071, chromosome-07
group13072, chromosome-07
group13073, chromosome-07
group13078, chromosome-04
group13079, chromosome-04
group13388, chromosome-00
group13389, plasmid-Rh01-circul
group13386, chromosome-00
group13387, chromosome-00
group13384, chromosome-02
group13385, chromosome-00
group13382, chromosome-00
group13383, chromosome-00
group13380, chromosome-04
group13381, chromosome-00
group18896, fragment
group9563, fragment
group12385, chromosome-00
group12384, fragment
group12387, chromosome-07
group12386, fragment
group12381, chromosome-05
group12380, chromosome-11
group12383, fragment
group12382, chromosome-12
group12389, chromosome-05
group12388, fragment
group8821-2, fragment
group13928, fragment
group13929, fragment
group13922, fragment
group13923, fragment
group13920, fragment
group13921, fragment
group13926, fragment
group13927, fragment
group13924, fragment
group13925, fragment
group12039, plasmid-Rh02
group14512-2, fragment
group12037, plasmid-Rh02
group12036, plasmid-Rh02
group12035, plasmid-Rh02
group12034, plasmid-Rh02
group12033, plasmid-Rh02
group12032, plasmid-Rh02
group12031, fragment
group12030, fragment
group8509, chromosome-00
group8508, chromosome-00
group8505, chromosome-00
group8504, chromosome-00
group8507, chromosome-00
group8506, chromosome-00
group8501, chromosome-00
group8500, chromosome-00
group8503, chromosome-00
group8502, fragment
group6757-2, fragment
group15568, chromosome-18
group15569, chromosome-01
group15564, chromosome-26
group15565, fragment
group15566, fragment
group15567, chromosome-13
group15560, chromosome-00
group15561, chromosome-08
group15562, chromosome-07
group15563, chromosome-05
group3418, chromosome-00
group3419, chromosome-00
group3416, chromosome-00
group3417, chromosome-00
group3414, chromosome-00
group3415, chromosome-00
group3412, chromosome-00
group3413, chromosome-00
group3410, chromosome-00
group3411, chromosome-00
group19861, plasmid-Rh04
group19860, chromosome-12
group19863, fragment
group19862, plasmid-Rh02+Rh04
group9670, fragment
group9671, plasmid-Rh02
group19867, fragment
group19866, chromosome-12
group3959-3, fragment
group1285, chromosome-01
group1284, chromosome-01
group1287, chromosome-01
group946, fragment
group947, fragment
group944, fragment
group945, fragment
group942, fragment
group943, fragment
group940, fragment
group941, fragment
group1281, chromosome-01
group948, fragment
group949, fragment
group1283, chromosome-01
group1282, chromosome-01
group498, chromosome-01
group499, chromosome-01
group494, chromosome-01
group495, chromosome-01
group496, chromosome-01
group497, chromosome-01
group490, chromosome-01
group491, chromosome-01
group492, chromosome-01
group493, chromosome-01
group11658, plasmid-Rh02
group11659, plasmid-Rh02
group11656, plasmid-Rh02
group11657, plasmid-Rh02
group11654, plasmid-Rh02
group11655, plasmid-Rh02
group11652, plasmid-Rh02
group11653, plasmid-Rh02
group11650, plasmid-Rh02
group11651, plasmid-Rh02
group6726-2, fragment
group2406, chromosome-00
group2407, chromosome-00
group2404, chromosome-00
group2405, chromosome-00
